"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01","ADAMS COUNTY","4962","4898","4441","1167"
"2020 General Election","02","ASHLAND COUNTY","3959","3945","3678","548"
"2020 General Election","03","BARRON COUNTY","11470","11422","10574","3563"
"2020 General Election","04","BAYFIELD COUNTY","5261","5212","4899","771"
"2020 General Election","05","BROWN COUNTY","103405","103147","98659","30143"
"2020 General Election","06","BUFFALO COUNTY","2527","2503","2245","542"
"2020 General Election","07","BURNETT COUNTY","3716","3665","3240","567"
"2020 General Election","08","CALUMET COUNTY","18315","18282","17418","4632"
"2020 General Election","09","CHIPPEWA COUNTY","17496","17423","16326","5203"
"2020 General Election","10","CLARK COUNTY","4335","4305","3690","558"
"2020 General Election","11","COLUMBIA COUNTY","18647","18603","17764","6055"
"2020 General Election","12","CRAWFORD COUNTY","3611","3572","3226","741"
"2020 General Election","13","DANE COUNTY","267157","266967","254183","61149"
"2020 General Election","14","DODGE COUNTY","23788","23755","22408","9218"
"2020 General Election","15","DOOR COUNTY","12121","12059","11477","3211"
"2020 General Election","16","DOUGLAS COUNTY","12154","12125","11235","2577"
"2020 General Election","17","DUNN COUNTY","9930","9891","9072","2271"
"2020 General Election","18","EAU CLAIRE COUNTY","35122","35062","33246","12958"
"2020 General Election","19","FLORENCE COUNTY","1222","1155","1057","136"
"2020 General Election","20","FOND DU LAC COUNTY","29813","29563","27664","8945"
"2020 General Election","21","FOREST COUNTY","1893","1882","1590","207"
"2020 General Election","22","GRANT COUNTY","11459","11371","10399","2631"
"2020 General Election","23","GREEN COUNTY","10821","10800","10168","3234"
"2020 General Election","24","GREEN LAKE COUNTY","4695","4636","4299","1572"
"2020 General Election","25","IOWA COUNTY","7786","7772","7340","2207"
"2020 General Election","26","IRON COUNTY","2041","2031","1848","238"
"2020 General Election","27","JACKSON COUNTY","3462","3459","3070","984"
"2020 General Election","28","JEFFERSON COUNTY","28041","27963","26375","10526"
"2020 General Election","29","JUNEAU COUNTY","5253","5200","4566","626"
"2020 General Election","30","KENOSHA COUNTY","61205","61133","58719","24930"
"2020 General Election","31","KEWAUNEE COUNTY","5195","5184","4707","0"
"2020 General Election","32","LA CROSSE COUNTY","44910","44871","43171","15011"
"2020 General Election","33","LAFAYETTE COUNTY","3087","3038","2762","552"
"2020 General Election","34","LANGLADE COUNTY","4257","4220","3724","903"
"2020 General Election","35","LINCOLN COUNTY","7144","7099","6381","1694"
"2020 General Election","36","MANITOWOC COUNTY","23951","23932","22772","8186"
"2020 General Election","37","MARATHON COUNTY","40651","40551","37901","11591"
"2020 General Election","38","MARINETTE COUNTY","11277","11243","10378","3556"
"2020 General Election","39","MARQUETTE COUNTY","3337","3238","2857","584"
"2020 General Election","40","MENOMINEE COUNTY","629","616","560","175"
"2020 General Election","41","MILWAUKEE COUNTY","346348","345887","325574","109002"
"2020 General Election","42","MONROE COUNTY","9570","9526","8571","3094"
"2020 General Election","43","OCONTO COUNTY","10616","10463","9605","2553"
"2020 General Election","44","ONEIDA COUNTY","12470","12398","11282","1965"
"2020 General Election","45","OUTAGAMIE COUNTY","70142","70061","66991","21507"
"2020 General Election","46","OZAUKEE COUNTY","44636","44597","42763","17781"
"2020 General Election","47","PEPIN COUNTY","1432","1389","1100","164"
"2020 General Election","48","PIERCE COUNTY","11027","10999","10320","2852"
"2020 General Election","49","POLK COUNTY","10831","10743","9948","2226"
"2020 General Election","50","PORTAGE COUNTY","24669","24639","23472","8315"
"2020 General Election","51","PRICE COUNTY","3339","3294","2846","538"
"2020 General Election","52","RACINE COUNTY","74421","74352","70173","32327"
"2020 General Election","53","RICHLAND COUNTY","3813","3618","3015","672"
"2020 General Election","54","ROCK COUNTY","53234","53160","50586","16592"
"2020 General Election","55","RUSK COUNTY","2414","2380","1968","317"
"2020 General Election","56","ST. CROIX COUNTY","32210","32162","30680","9632"
"2020 General Election","57","SAUK COUNTY","20708","20579","19307","6063"
"2020 General Election","58","SAWYER COUNTY","5497","5424","5111","1590"
"2020 General Election","59","SHAWANO COUNTY","9501","9470","8783","2785"
"2020 General Election","60","SHEBOYGAN COUNTY","38626","38548","36640","14470"
"2020 General Election","61","TAYLOR COUNTY","3594","3512","3114","701"
"2020 General Election","62","TREMPEALEAU COUNTY","5237","5163","4703","1189"
"2020 General Election","63","VERNON COUNTY","6478","6249","5228","1082"
"2020 General Election","64","VILAS COUNTY","8588","8514","8016","2135"
"2020 General Election","65","WALWORTH COUNTY","36031","35985","34264","14943"
"2020 General Election","66","WASHBURN COUNTY","4239","4167","3665","809"
"2020 General Election","67","WASHINGTON COUNTY","58861","58754","56676","26223"
"2020 General Election","68","WAUKESHA COUNTY","196212","195956","188084","76684"
"2020 General Election","69","WAUPACA COUNTY","12998","12984","11936","3744"
"2020 General Election","70","WAUSHARA COUNTY","4996","4952","4367","931"
"2020 General Election","71","WINNEBAGO COUNTY","59406","59337","56198","17013"
"2020 General Election","72","WOOD COUNTY","21263","21200","19939","6934"
"2020 General Election","99999","TOTAL","2073512","2068255","1955014","651195"
