"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","255","255","223","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","134","134","105","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","52","51","46","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","459","454","427","152"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","180","180","172","56"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","275","264","239","31"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","27","23","21","4"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","63","63","43","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","129","129","109","21"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","169","169","152","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","120","120","102","2"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","264","264","205","33"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","337","336","306","101"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","17","17","16","1"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1523","1521","1458","555"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","286","286","229","2"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","248","210","180","62"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","120","120","117","37"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","295","294","260","106"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","72","69","67","6"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","100","99","91","3"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","57","57","52","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","180","180","162","5"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","49","49","40","7"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","108","108","95","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","173","173","166","60"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","68","68","63","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","138","136","130","4"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","34","32","25","4"
"2020 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","144","143","124","0"
"2020 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","25","25","25","0"
"2020 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","137","135","124","25"
"2020 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","66","66","66","17"
"2020 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","2467","2465","2297","414"
"2020 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","141","140","137","0"
"2020 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","210","206","179","71"
"2020 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","103","103","82","4"
"2020 General Election","03006","TOWN OF BARRON - BARRON COUNTY","135","135","102","30"
"2020 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","171","171","147","37"
"2020 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","349","340","331","47"
"2020 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","545","542","516","162"
"2020 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","106","105","98","7"
"2020 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","114","114","87","24"
"2020 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","169","169","151","45"
"2020 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","90","89","81","10"
"2020 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","129","129","111","23"
"2020 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","95","95","74","11"
"2020 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","209","209","178","31"
"2020 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","157","149","129","21"
"2020 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","186","186","158","41"
"2020 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","182","180","156","16"
"2020 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","53","53","47","0"
"2020 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","396","391","356","94"
"2020 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","1103","1102","1074","420"
"2020 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","154","154","132","33"
"2020 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","161","161","149","60"
"2020 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","667","667","625","191"
"2020 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","147","147","138","52"
"2020 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","80","75","53","13"
"2020 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","64","62","51","4"
"2020 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","94","94","84","33"
"2020 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","362","362","340","147"
"2020 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","47","47","42","11"
"2020 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","27","27","26","4"
"2020 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","30","30","29","0"
"2020 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","143","143","135","50"
"2020 General Election","03206","CITY OF BARRON - BARRON COUNTY","878","877","823","319"
"2020 General Election","03211","CITY OF CHETEK - BARRON COUNTY","625","625","592","267"
"2020 General Election","03212","CITY OF CUMBERLAND - BARRON COUNTY","662","659","595","243"
"2020 General Election","03276","CITY OF RICE LAKE - BARRON COUNTY","2839","2836","2706","1044"
"2020 General Election","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","238","236","227","30"
"2020 General Election","04004","TOWN OF BARNES - BAYFIELD COUNTY","324","320","308","86"
"2020 General Election","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","329","328","313","43"
"2020 General Election","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","171","171","165","14"
"2020 General Election","04010","TOWN OF BELL - BAYFIELD COUNTY","150","150","135","10"
"2020 General Election","04012","TOWN OF CABLE - BAYFIELD COUNTY","310","303","295","57"
"2020 General Election","04014","TOWN OF CLOVER - BAYFIELD COUNTY","107","105","101","12"
"2020 General Election","04016","TOWN OF DELTA - BAYFIELD COUNTY","123","123","120","2"
