County,Registered Voters,Total Voted,Percent Voted
APPLING,"10,973","6,256",57.00%
ATKINSON,"4,742","2,176",45.90%
BACON,"6,588","4,082",62.00%
BAKER,"2,217","1,094",49.30%
BALDWIN,"26,063","14,667",56.30%
BANKS,"12,423","6,973",56.10%
BARROW,"54,298","30,033",55.30%
BARTOW,"72,770","37,383",51.40%
BEN HILL,"9,778","5,771",59.00%
BERRIEN,"10,662","5,515",51.70%
BIBB,"105,736","53,119",50.20%
BLECKLEY,"7,211","4,439",61.60%
BRANTLEY,"10,662","5,516",51.70%
BROOKS,"10,965","5,049",46.00%
BRYAN,"29,227","17,519",59.90%
BULLOCH,"44,718","20,707",46.30%
BURKE,"16,182","6,410",39.60%
BUTTS,"16,807","10,550",62.80%
CALHOUN,"3,145","1,541",49.00%
CAMDEN,"33,557","18,637",55.50%
CANDLER,"6,081","3,726",61.30%
CARROLL,"82,323","39,914",48.50%
CATOOSA,"44,004","26,257",59.70%
CHARLTON,"6,316","3,174",50.30%
CHATHAM,"192,878","92,058",47.70%
CHATTAHOOCHEE,"3,837","1,103",28.70%
CHATTOOGA,"13,768","7,151",51.90%
CHEROKEE,"183,930","112,842",61.40%
CLARKE,"74,705","41,969",56.20%
CLAY,"1,968","1,113",56.60%
CLAYTON,"191,760","89,594",46.70%
CLINCH,"4,243","2,002",47.20%
COBB,"524,648","317,757",60.60%
COFFEE,"24,764","11,406",46.10%
COLQUITT,"23,930","10,616",44.40%
COLUMBIA,"103,130","61,308",59.40%
COOK,"10,363","5,322",51.40%
COWETA,"97,986","52,254",53.30%
CRAWFORD,"8,038","4,658",57.90%
CRISP,"12,323","6,456",52.40%
DADE,"10,696","5,134",48.00%
DAWSON,"21,034","13,206",62.80%
DECATUR,"16,037","9,294",58.00%
DEKALB,"531,867","317,096",59.60%
DODGE,"11,067","5,128",46.30%
DOOLY,"5,676","3,138",55.30%
DOUGHERTY,"58,986","22,487",38.10%
DOUGLAS,"100,169","56,987",56.90%
EARLY,"7,089","3,722",52.50%
ECHOLS,"2,108","1,175",55.70%
EFFINGHAM,"43,297","22,165",51.20%
ELBERT,"11,958","6,751",56.50%
EMANUEL,"13,362","6,101",45.70%
EVANS,"6,134","3,525",57.50%
FANNIN,"19,702","10,244",52.00%
FAYETTE,"89,359","60,730",68.00%
FLOYD,"57,572","30,714",53.30%
FORSYTH,"158,732","114,754",72.30%
FRANKLIN,"14,467","8,080",55.90%
FULTON,"789,687","447,266",56.60%
GILMER,"22,015","11,585",52.60%
GLASCOCK,"2,020","1,116",55.20%
GLYNN,"59,922","34,849",58.20%
GORDON,"35,790","15,855",44.30%
GRADY,"15,072","7,943",52.70%
GREENE,"13,762","9,816",71.30%
GWINNETT,"561,236","336,843",60.00%
HABERSHAM,"28,007","17,094",61.00%
HALL,"122,667","74,569",60.80%
HANCOCK,"5,700","3,183",55.80%
HARALSON,"19,852","9,445",47.60%
HARRIS,"24,627","12,926",52.50%
HART,"16,294","9,775",60.00%
HEARD,"7,603","3,537",46.50%
HENRY,"167,049","105,419",63.10%
HOUSTON,"101,709","55,707",54.80%
IRWIN,"6,062","3,269",53.90%
