County,Registered Voters,Total Voted,Percent Voted
APPLING,"10,973","6,291",57.30%
ATKINSON,"4,742","2,186",46.10%
BACON,"6,588","4,097",62.20%
BAKER,"2,217","1,112",50.20%
BALDWIN,"26,063","14,835",56.90%
BANKS,"12,423","6,999",56.30%
BARROW,"54,298","30,180",55.60%
BARTOW,"72,770","37,697",51.80%
BEN HILL,"9,778","5,790",59.20%
BERRIEN,"10,662","5,560",52.10%
BIBB,"105,736","53,794",50.90%
BLECKLEY,"7,211","4,463",61.90%
BRANTLEY,"10,662","5,538",51.90%
BROOKS,"10,965","5,105",46.60%
BRYAN,"29,227","17,651",60.40%
BULLOCH,"44,718","20,875",46.70%
BURKE,"16,182","7,240",44.70%
BUTTS,"16,807","10,592",63.00%
CALHOUN,"3,145","1,553",49.40%
CAMDEN,"33,557","18,756",55.90%
CANDLER,"6,081","3,780",62.20%
CARROLL,"82,323","40,183",48.80%
CATOOSA,"44,004","26,350",59.90%
CHARLTON,"6,316","3,192",50.50%
CHATHAM,"192,878","96,217",49.90%
CHATTAHOOCHEE,"3,837","1,119",29.20%
CHATTOOGA,"13,768","7,193",52.20%
CHEROKEE,"183,930","113,832",61.90%
CLARKE,"74,705","42,509",56.90%
CLAY,"1,968","1,128",57.30%
CLAYTON,"191,760","91,238",47.60%
CLINCH,"4,243","2,008",47.30%
COBB,"524,648","324,486",61.80%
COFFEE,"24,764","11,500",46.40%
COLQUITT,"23,930","10,671",44.60%
COLUMBIA,"103,130","61,912",60.00%
COOK,"10,363","5,374",51.90%
COWETA,"97,986","52,905",54.00%
CRAWFORD,"8,038","4,682",58.20%
CRISP,"12,323","6,487",52.60%
DADE,"10,696","5,147",48.10%
DAWSON,"21,034","13,475",64.10%
DECATUR,"16,037","9,362",58.40%
DEKALB,"531,867","322,734",60.70%
DODGE,"11,067","5,160",46.60%
DOOLY,"5,676","3,154",55.60%
DOUGHERTY,"58,986","23,379",39.60%
DOUGLAS,"100,169","57,760",57.70%
EARLY,"7,089","3,748",52.90%
ECHOLS,"2,108","1,183",56.10%
EFFINGHAM,"43,297","22,275",51.40%
ELBERT,"11,958","6,774",56.60%
EMANUEL,"13,362","6,129",45.90%
EVANS,"6,134","3,539",57.70%
FANNIN,"19,702","10,273",52.10%
FAYETTE,"89,359","61,873",69.20%
FLOYD,"57,572","30,981",53.80%
FORSYTH,"158,732","116,113",73.20%
FRANKLIN,"14,467","8,117",56.10%
FULTON,"789,687","456,577",57.80%
GILMER,"22,015","11,639",52.90%
GLASCOCK,"2,020","1,124",55.60%
GLYNN,"59,922","35,109",58.60%
GORDON,"35,790","15,967",44.60%
GRADY,"15,072","8,034",53.30%
GREENE,"13,762","9,846",71.50%
GWINNETT,"561,236","341,438",60.80%
HABERSHAM,"28,007","17,191",61.40%
HALL,"122,667","75,197",61.30%
HANCOCK,"5,700","3,243",56.90%
HARALSON,"19,852","9,523",48.00%
HARRIS,"24,627","13,071",53.10%
HART,"16,294","9,829",60.30%
HEARD,"7,603","3,555",46.80%
HENRY,"167,049","106,348",63.70%
HOUSTON,"101,709","56,470",55.50%
IRWIN,"6,062","3,275",54.00%
JACKSON,"50,368","31,602",62.70%
JASPER,"10,049","5,751",57.20%
JEFF DAVIS,"8,219","4,100",49.90%
JEFFERSON,"11,072","5,421",49.00%
JENKINS,"4,915","2,564",52.20%
JOHNSON,"5,537","3,120",56.30%
JONES,"20,047","10,601",52.90%
LAMAR,"12,571","6,792",54.00%
LANIER,"5,276","2,885",54.70%
LAURENS,"31,776","15,126",47.60%
LEE,"22,503","12,731",56.60%
LIBERTY,"32,657","17,861",54.70%
LINCOLN,"5,972","3,475",58.20%
LONG,"8,899","4,057",45.60%
LOWNDES,"73,737","37,415",50.70%
LUMPKIN,"21,847","13,180",60.30%
MACON,"6,784","3,614",53.30%
MADISON,"20,069","10,644",53.00%
MARION,"4,745","2,649",55.80%
MCDUFFIE,"14,361","8,955",62.40%
MCINTOSH,"9,007","5,413",60.10%
MERIWETHER,"14,915","7,457",50.00%
MILLER,"3,780","2,129",56.30%
MITCHELL,"12,910","6,598",51.10%
MONROE,"20,808","11,779",56.60%
MONTGOMERY,"5,195","2,587",49.80%
MORGAN,"14,629","9,324",63.70%
MURRAY,"21,276","10,949",51.50%
MUSCOGEE,"127,655","67,672",53.00%
NEWTON,"75,706","36,431",48.10%
OCONEE,"28,973","21,820",75.30%
OGLETHORPE,"10,683","6,652",62.30%
PAULDING,"109,852","71,611",65.20%
PEACH,"17,146","10,702",62.40%
PICKENS,"23,014","10,049",43.70%
PIERCE,"12,296","7,723",62.80%
PIKE,"13,357","8,061",60.40%
POLK,"23,060","13,843",60.00%
PULASKI,"5,518","3,544",64.20%
PUTNAM,"15,494","9,763",63.00%
QUITMAN,"1,482",783,52.80%
RABUN,"12,784","8,183",64.00%
RANDOLPH,"4,263","2,348",55.10%
RICHMOND,"128,453","66,265",51.60%
ROCKDALE,"64,691","38,724",59.90%
SCHLEY,"2,781","1,908",68.60%
SCREVEN,"9,753","4,745",48.70%
SEMINOLE,"5,684","2,641",46.50%
SPALDING,"44,138","21,303",48.30%
STEPHENS,"16,570","9,386",56.60%
STEWART,"2,744","1,418",51.70%
