ElectionNumber,ElectionDate,ElectionName,CountyName,StatType,TotalRep,TotalDem,TotalOth,TotalNpa,GrandTotal,CompileDate
10866,11/3/2020,2020 General Election,State Totals,Vote-by-Mail Provided (Not Yet Returned),"474,860","642,113","24,851","389,411","1,531,235",10/31/2020 11:10AM
10866,11/3/2020,2020 General Election,Alachua,Vote-by-Mail Provided (Not Yet Returned),"3,899","9,494",254,"3,822","17,469",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Baker,Vote-by-Mail Provided (Not Yet Returned),468,267,10,94,839,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Bay,Vote-by-Mail Provided (Not Yet Returned),"4,422","3,142",194,"1,824","9,582",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Bradford,Vote-by-Mail Provided (Not Yet Returned),596,449,18,159,"1,222",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Brevard,Vote-by-Mail Provided (Not Yet Returned),"20,662","24,245","1,056","12,393","58,356",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Broward,Vote-by-Mail Provided (Not Yet Returned),"33,461","85,201","2,372","45,429","166,463",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Calhoun,Vote-by-Mail Provided (Not Yet Returned),103,176,2,42,323,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Charlotte,Vote-by-Mail Provided (Not Yet Returned),"5,240","4,201",261,"2,830","12,532",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Citrus,Vote-by-Mail Provided (Not Yet Returned),"4,856","3,397",173,"1,910","10,336",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Clay,Vote-by-Mail Provided (Not Yet Returned),"7,274","4,677",236,"3,062","15,249",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Collier,Vote-by-Mail Provided (Not Yet Returned),"11,688","6,581",300,"5,752","24,321",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Columbia,Vote-by-Mail Provided (Not Yet Returned),"1,052","1,126",33,443,"2,654",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,DeSoto,Vote-by-Mail Provided (Not Yet Returned),372,394,12,194,972,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Dixie,Vote-by-Mail Provided (Not Yet Returned),346,238,9,97,690,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Duval,Vote-by-Mail Provided (Not Yet Returned),"15,468","29,747","1,053","11,458","57,726",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Escambia,Vote-by-Mail Provided (Not Yet Returned),"8,157","8,595",407,"4,258","21,417",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Flagler,Vote-by-Mail Provided (Not Yet Returned),"2,777","2,874",116,"1,757","7,524",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Franklin,Vote-by-Mail Provided (Not Yet Returned),353,471,16,115,955,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Gadsden,Vote-by-Mail Provided (Not Yet Returned),346,"1,743",8,251,"2,348",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Gilchrist,Vote-by-Mail Provided (Not Yet Returned),317,201,9,92,619,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Glades,Vote-by-Mail Provided (Not Yet Returned),253,169,6,80,508,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Gulf,Vote-by-Mail Provided (Not Yet Returned),267,268,17,59,611,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Hamilton,Vote-by-Mail Provided (Not Yet Returned),147,230,5,43,425,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Hardee,Vote-by-Mail Provided (Not Yet Returned),286,301,5,141,733,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Hendry,Vote-by-Mail Provided (Not Yet Returned),434,615,14,205,"1,268",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Hernando,Vote-by-Mail Provided (Not Yet Returned),"5,529","4,729",248,"3,117","13,623",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Highlands,Vote-by-Mail Provided (Not Yet Returned),"2,117","2,044",61,"1,080","5,302",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Hillsborough,Vote-by-Mail Provided (Not Yet Returned),"35,140","48,941","1,917","31,037","117,035",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Holmes,Vote-by-Mail Provided (Not Yet Returned),313,220,7,70,610,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Indian River,Vote-by-Mail Provided (Not Yet Returned),"4,138","3,405",179,"2,189","9,911",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Jackson,Vote-by-Mail Provided (Not Yet Returned),690,970,14,194,"1,868",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Jefferson,Vote-by-Mail Provided (Not Yet Returned),147,373,7,78,605,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Lafayette,Vote-by-Mail Provided (Not Yet Returned),94,58,2,10,164,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Lake,Vote-by-Mail Provided (Not Yet Returned),"8,310","9,591",320,"5,942","24,163",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Lee,Vote-by-Mail Provided (Not Yet Returned),"17,404","13,267",692,"11,789","43,152",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Leon,Vote-by-Mail Provided (Not Yet Returned),"6,539","15,494",316,"4,181","26,530",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Levy,Vote-by-Mail Provided (Not Yet Returned),"1,184",912,51,358,"2,505",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Liberty,Vote-by-Mail Provided (Not Yet Returned),64,167,2,22,255,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Madison,Vote-by-Mail Provided (Not Yet Returned),170,363,2,47,582,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Manatee,Vote-by-Mail Provided (Not Yet Returned),"11,488","9,842",479,"6,755","28,564",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Marion,Vote-by-Mail Provided (Not Yet Returned),"8,684","8,226",268,"3,810","20,988",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Martin,Vote-by-Mail Provided (Not Yet Returned),"5,372","3,913",200,"2,542","12,027",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Miami-Dade,Vote-by-Mail Provided (Not Yet Returned),"53,723","84,789","2,987","62,117","203,616",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Monroe,Vote-by-Mail Provided (Not Yet Returned),"2,467","2,061",133,"1,316","5,977",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Nassau,Vote-by-Mail Provided (Not Yet Returned),"3,556","1,743",116,"1,079","6,494",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Okaloosa,Vote-by-Mail Provided (Not Yet Returned),"5,811","3,831",277,"2,909","12,828",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Okeechobee,Vote-by-Mail Provided (Not Yet Returned),487,507,10,230,"1,234",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Orange,Vote-by-Mail Provided (Not Yet Returned),"19,350","41,588","1,503","25,359","87,800",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Osceola,Vote-by-Mail Provided (Not Yet Returned),"6,553","12,435",312,"9,203","28,503",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Palm Beach,Vote-by-Mail Provided (Not Yet Returned),"31,328","55,965","2,365","32,258","121,916",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Pasco,Vote-by-Mail Provided (Not Yet Returned),"13,319","12,921",623,"9,431","36,294",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Pinellas,Vote-by-Mail Provided (Not Yet Returned),"31,340","32,243","1,564","23,943","89,090",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Polk,Vote-by-Mail Provided (Not Yet Returned),"12,612","16,241",606,"10,332","39,791",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Putnam,Vote-by-Mail Provided (Not Yet Returned),"1,234","1,618",28,500,"3,380",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Santa Rosa,Vote-by-Mail Provided (Not Yet Returned),"4,925","3,260",258,"2,124","10,567",10/31/2020 11:10AM
10866,11/3/2020,2020 General Election,Sarasota,Vote-by-Mail Provided (Not Yet Returned),"8,045","7,458",403,"5,663","21,569",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Seminole,Vote-by-Mail Provided (Not Yet Returned),"12,456","15,718",699,"11,025","39,898",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,St. Johns,Vote-by-Mail Provided (Not Yet Returned),"7,797","6,956",323,"3,549","18,625",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,St. Lucie,Vote-by-Mail Provided (Not Yet Returned),"6,389","10,947",326,"5,387","23,049",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Sumter,Vote-by-Mail Provided (Not Yet Returned),"4,350","2,694",72,"1,486","8,602",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Suwannee,Vote-by-Mail Provided (Not Yet Returned),803,679,21,250,"1,753",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Taylor,Vote-by-Mail Provided (Not Yet Returned),467,492,7,97,"1,063",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Union,Vote-by-Mail Provided (Not Yet Returned),147,163,3,39,352,10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Volusia,Vote-by-Mail Provided (Not Yet Returned),"14,273","14,461",764,"10,495","39,993",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Wakulla,Vote-by-Mail Provided (Not Yet Returned),507,654,16,190,"1,367",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Walton,Vote-by-Mail Provided (Not Yet Returned),"1,811",979,75,575,"3,440",10/31/2020  8:35AM
10866,11/3/2020,2020 General Election,Washington,Vote-by-Mail Provided (Not Yet Returned),483,393,9,123,"1,008",10/31/2020  8:35AM
